Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
3B,Nolan Arenado (13360592),Nolan Arenado,13360592,3B,5500,NYM@COL 09/16/2019 08:40PM ET,COL,9.80
SP,Joe Ross (13361318),Joe Ross,13361318,P,5500,WAS@STL 09/16/2019 07:45PM ET,WAS,3.49
SP,Foster Griffin (13361317),Foster Griffin,13361317,P,5500,KC@OAK 09/16/2019 10:07PM ET,KC,0
SP,Hector Santiago (13361319),Hector Santiago,13361319,P,5400,CWS@MIN 09/16/2019 07:40PM ET,CWS,3.49
SP,Cal Quantrill (13361320),Cal Quantrill,13361320,P,5400,SD@MIL 09/16/2019 07:40PM ET,SD,9.70
2B/OF,Ketel Marte (13360590),Ketel Marte,13360590,2B/OF,5400,MIA@ARI 09/16/2019 09:40PM ET,ARI,10.05
RP,Yoan Lopez (13361321),Yoan Lopez,13361321,P,5400,MIA@ARI 09/16/2019 09:40PM ET,ARI,2.14
OF,Michael Conforto (13360593),Michael Conforto,13360593,OF,5400,NYM@COL 09/16/2019 08:40PM ET,NYM,8.67
OF,Charlie Blackmon (13360594),Charlie Blackmon,13360594,OF,5400,NYM@COL 09/16/2019 08:40PM ET,COL,9.96
RP,Wade Davis (13361322),Wade Davis,13361322,P,5400,NYM@COL 09/16/2019 08:40PM ET,COL,1.27
RP,Jesus Tinoco (13361323),Jesus Tinoco,13361323,P,5400,NYM@COL 09/16/2019 08:40PM ET,COL,2.84
SP,Thomas Hatch (13361324),Thomas Hatch,13361324,P,5300,CIN@CHC 09/16/2019 08:05PM ET,CHC,0
SP,Carson Fulmer (13361325),Carson Fulmer,13361325,P,5300,CWS@MIN 09/16/2019 07:40PM ET,CWS,2.63
3B/OF,J.D. Davis (13360596),J.D. Davis,13360596,3B/OF,5300,NYM@COL 09/16/2019 08:40PM ET,NYM,6.48
SS,Marcus Semien (13360595),Marcus Semien,13360595,SS,5300,KC@OAK 09/16/2019 10:07PM ET,OAK,9.65
SP,Liam Hendriks (13361326),Liam Hendriks,13361326,P,5300,KC@OAK 09/16/2019 10:07PM ET,OAK,5.06
RP,Dillon Maples (13361328),Dillon Maples,13361328,P,5200,CIN@CHC 09/16/2019 08:05PM ET,CHC,2.48
OF,Nelson Cruz (13360598),Nelson Cruz,13360598,OF,5200,CWS@MIN 09/16/2019 07:40PM ET,MIN,10.27
SP,Hector Noesi (13361327),Hector Noesi,13361327,P,5200,MIA@ARI 09/16/2019 09:40PM ET,MIA,2
1B,Matt Olson (13360599),Matt Olson,13360599,1B,5200,KC@OAK 09/16/2019 10:07PM ET,OAK,9.14
SS,Fernando Tatis Jr. (13360600),Fernando Tatis Jr.,13360600,SS,5100,SD@MIL 09/16/2019 07:40PM ET,SD,10.79
2B,Keston Hiura (13360603),Keston Hiura,13360603,2B,5100,SD@MIL 09/16/2019 07:40PM ET,MIL,9.47
